company_string,sources,company_id,company_name,kind,method,confidence,needs_review,candidates
Ellerby Semiconductor,connections_beckett | connections_whitfield | crm_accounts | intro_requests | investor_network.portfolio_company | investor_network.prior_employer,C011,Ellerby Semiconductor,company,name-exact,1.00,no,
"Ellerby Semiconductor, Inc.",crm_accounts,C011,Ellerby Semiconductor,company,name-exact,1.00,no,
Elmsworth Tutors,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Fairbourne Fitness,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Falkirk Shipping,connections_aldridge | connections_raghunathan | connections_whitfield | crm_accounts | investor_network.portfolio_company,C012,Falkirk Shipping,company,name-exact,1.00,no,
Ferrowick Insurance,crm_accounts,C013,Ferrowick Insurance,company,name-exact,1.00,no,
Garrowby Books,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Glasspoint Health,connections_aldridge | connections_duvall | crm_accounts | intro_requests | investor_network.portfolio_company,C015,Glasspoint Health,company,name-exact,1.00,no,
Gravenhurst Motors,connections_duvall | connections_raghunathan | crm_accounts | intro_requests | investor_network.portfolio_company | investor_network.prior_employer,C016,Gravenhurst Motors,company,name-exact,1.00,no,
Halcyon Grid,crm_accounts | intro_requests,C017,Halcyon Grid,company,name-exact,1.00,no,
Harrowgate Health,connections_aldridge | connections_beckett | connections_raghunathan | connections_trask | connections_whitfield | crm_accounts | intro_requests | investor_network.prior_employer,C018,Harrowgate Health,company,name-exact,1.00,no,
Highmoor Cycles,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Hollowbrook Grocers,connections_raghunathan | connections_whitfield | crm_accounts | intro_requests | investor_network.portfolio_company,C019,Hollowbrook Grocers,company,name-exact,1.00,no,
Hollowbrook Grocers Inc.,crm_accounts,C019,Hollowbrook Grocers,company,name-exact,1.00,no,
Inglenook Bakery,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Ironvale Partners,investor_network.fund,F004,Ironvale Partners,fund,name-exact,1.00,no,
Ironvale Steel,connections_aldridge | connections_raghunathan | crm_accounts | intro_requests | investor_network.portfolio_company | investor_network.prior_employer,C020,Ironvale Steel,company,name-exact,1.00,no,
Kestrel Airlines,crm_accounts | intro_requests | investor_network.portfolio_company,C014,Kestrel Airlines,company,name-exact,1.00,no,
Kingsmere Retail Group,connections_beckett | connections_raghunathan | connections_trask | connections_whitfield | intro_requests | investor_network.prior_employer,,,,unmatched,0.00,yes,
Larchmont Aerospace,crm_accounts | intro_requests,C021,Larchmont Aerospace,company,name-exact,1.00,no,
Larkhall Software,crm_accounts | intro_requests,C022,Larkhall Software,company,name-exact,1.00,no,
Marchford Clinics,connections_aldridge | connections_raghunathan | connections_trask | crm_accounts | intro_requests,C023,Marchford Clinics,company,name-exact,1.00,no,
Marlowe Freight Systems,connections_aldridge | crm_accounts | intro_requests | investor_network.portfolio_company,C024,Marlowe Freight Systems,company,name-exact,1.00,no,
Marrow Point Airways,intro_requests,,,,unmatched,0.00,yes,
Meridian Holdings,crm_accounts,C025,Meridian Holdings,company,name-exact,1.00,no,
Meridian Peak,intro_requests,,,,fund-or-customer,0.50,yes,C025 Meridian Holdings (company) | F005 Meridian Peak Partners (fund)
Meridian Peak Foods,connections_raghunathan | connections_trask | connections_whitfield | intro_requests | investor_network.portfolio_company,C025,Meridian Holdings,company,domain-stem,0.95,no,
Meridian Peak Partners,investor_network.fund,F005,Meridian Peak Partners,fund,name-exact,1.00,no,
Northgate Growth,investor_network.fund,F006,Northgate Growth,fund,name-exact,1.00,no,
Northwind Freight,crm_accounts | intro_requests,C026,Northwind Freight,company,name-exact,1.00,no,
Nortonbury Logistics,connections_aldridge | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield | crm_accounts | intro_requests | investor_network.portfolio_company,C027,Nortonbury Logistics,company,name-exact,1.00,no,
Ondermark Consulting,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Osric Networks,crm_accounts | intro_requests | investor_network.portfolio_company,C028,Osric Networks,company,name-exact,1.00,no,
Pale Harbour Studio,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Pelham Beverage,crm_accounts | intro_requests,C029,Pelham Beverage,company,name-exact,1.00,no,
Pemberton Retail,crm_accounts | intro_requests,C030,Pemberton Retail,company,name-exact,1.00,no,
Priorwood Chemicals,connections_aldridge | connections_beckett | connections_duvall | crm_accounts | intro_requests | investor_network.portfolio_company | investor_network.prior_employer,C031,Priorwood Chemicals,company,name-exact,1.00,no,
Quillon Pharma,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | crm_accounts | intro_requests | investor_network.portfolio_company | investor_network.prior_employer,C032,Quillon Pharma,company,name-exact,1.00,no,
Quintrell Advisory,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Ravensmoor Defense,crm_accounts | intro_requests,C033,Ravensmoor Defense,company,name-exact,1.00,no,
Redtree Capital,investor_network.fund,F007,Redtree Capital,fund,name-exact,1.00,no,
Redtree Foods,connections_aldridge | connections_raghunathan | connections_trask | intro_requests | investor_network.portfolio_company | investor_network.prior_employer,,,,unmatched,0.00,yes,
Rooksby Legal,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Sablefield Motors,crm_accounts | intro_requests,C034,Sablefield Motors,company,name-exact,1.00,no,
Silverbrook,intro_requests,,,,fund-or-customer,0.50,yes,C035 Silverbrook Paper (company) | F008 Silverbrook Capital (fund)
Silverbrook Capital,investor_network.fund,F008,Silverbrook Capital,fund,name-exact,1.00,no,
Silverbrook Paper,connections_trask | crm_accounts | intro_requests,C035,Silverbrook Paper,company,name-exact,1.00,no,
Silverbrook Paper Corp,crm_accounts,C035,Silverbrook Paper,company,name-exact,1.00,no,
Strathmore Holdings,crm_accounts,C036,Strathmore Holdings,company,name-exact,1.00,no,
Strathmore Rail,connections_aldridge | connections_beckett | connections_duvall | intro_requests | investor_network.portfolio_company | investor_network.prior_employer,C036,Strathmore Holdings,company,domain-stem,0.95,no,
Sundermere Bank,crm_accounts | intro_requests,C037,Sundermere Bank,company,name-exact,1.00,no,
Tannerly Design,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Tessellate Payments,connections_raghunathan | connections_trask | crm_accounts | intro_requests | investor_network.prior_employer,C038,Tessellate Payments,company,name-exact,1.00,no,
Thistledown Energy,crm_accounts | intro_requests,C039,Thistledown Energy,company,name-exact,1.00,no,
Thornbury,intro_requests,,,,fund-or-customer,0.50,yes,C040 Thornbury Financial (company) | F009 Thornbury Equity (fund)
Thornbury Equity,investor_network.fund,F009,Thornbury Equity,fund,name-exact,1.00,no,
Thornbury Financial,intro_requests,C040,Thornbury Financial,company,name-exact,1.00,no,
THORNBURYFINANCIAL,crm_accounts,C040,Thornbury Financial,company,name-exact,1.00,no,
Underwood & Vale,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Vantage Ridge Utilities,connections_aldridge | connections_beckett | crm_accounts | intro_requests | investor_network.portfolio_company,C041,Vantage Ridge Utilities,company,name-exact,1.00,no,
Vespermill Analytics,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Vireo Systems,connections_aldridge | connections_duvall | intro_requests | investor_network.portfolio_company,,,,unmatched,0.00,yes,
Volney Industrial Systems,crm_accounts | intro_requests | investor_network.portfolio_company,C042,Volney Industrial Systems,company,name-exact,1.00,no,
Whitlock Staffing,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Wrenfield Robotics,connections_raghunathan | intro_requests | investor_network.portfolio_company | investor_network.prior_employer,C043,Wrenfield Robotics,company,name-exact,1.00,no,
WRENFIELDROBOTICS,crm_accounts,C043,Wrenfield Robotics,company,name-exact,1.00,no,
Xanthe Labs,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Yardley Print,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Yarrowdale Media,connections_beckett | connections_raghunathan | crm_accounts | intro_requests | investor_network.portfolio_company,C044,Yarrowdale Media,company,name-exact,1.00,no,
Zenner Foods,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
